 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geral,,,,,,,,,,ARGENTINA,,,,,,,,,,URUGUAY,,,,,,,,,,ESTADOS UNIDOS,,,,,,,,,,OUTROS,,,,,,,,
,Cenário Anterior,,,Projeção,,,Cenário Atual,,,,Cenário Anterior,,,Projeção,,,Cenário Atual,,,,Cenário Anterior,,,Projeção,,,Cenário Atual,,,,Cenário Anterior,,,Projeção,,,Cenário Atual,,,,Cenário Anterior,,,Projeção,,,Cenário Atual,,
,Investimento total,"$28,743.56",,Investimento total,,,Investimento total,"$34,721.50",,,Investimento total,"$28,743.56",,Investimento total,,,Investimento total,"$15,011.46",,,Investimento total,"$28,743.56",,Investimento total,$1.02,,Investimento total,,,,Investimento total,,,Investimento total,"$15,011.46",,Investimento total,,,,Investimento total,,,Investimento total,$0.82,,Investimento total,,
,Captação,"$26,528.24",,Captação,,,Captação,"$30,008.27",,,Captação,"$16,542.23",,Captação,"$15,154.82","$14,875.00",Captação,"$15,011.46",-$136.46,,Captação,"$6,392.42",,Captação,"$9,776.64","$14,875.00",Captação,"$14,996.81",-$121.81,,Captação,$0.31,,Captação,$123.19,,Captação,$1.88,,,Captação,,,Captação,#DIV/0!,,Captação,$0.00,
,% Captação,70%,,% Captação,85%,,% Captação,86%,,,% Captação,62.36%,,% Captação,50%,,% Captação,69%,,,% Captação,24.10%,,% Captação,50%,,% Captação,30%,,,% Captação,,,% Captação,40%,,% Captação,0%,,,% Captação,,,% Captação,40%,,% Captação,0%,
,Leads (Real),7515,,Leads (Real),,,Leads (Real),26398,,,Leads (Real),4025,,Leads (Real),4609,,Leads (Real),18206,,,Leads (Real),1195,,Leads (Real),2285,,Leads (Real),7980,,,Leads (Real),5,,Leads (Real),33,,Leads (Real),3,,,Leads (Real),,,Leads (Real),#DIV/0!,,Leads (Real),46,
,CPL  (Real),$2.87,,CPL  (Real),,,CPL  (Real),$1.14,,,CPL  (Real),$4.11,,CPL  (Real),$3.29,,CPL  (Real),$0.82,,,CPL  (Real),$3.69,,CPL  (Real),$4.28,,CPL  (Real),$1.88,,,CPL  (Real),,,CPL  (Real),$3.68,,CPL  (Real),$0.00,,,CPL  (Real),,,CPL  (Real),$5.05,,CPL  (Real),$0.00,
,Leads (Trader),,,Leads (Trader),,,Leads (Trader),,,,Leads (Trader),1521,2651 projeção,Leads (Trader),1760,,Leads (Trader),1931,11%,,Leads (Trader),235,377 projeção,Leads (Trader),459,,Leads (Trader),449,6%,,Leads (Trader),235,377 projeção,Leads (Trader),268533137,,Leads (Trader),30%,11%,,Leads (Trader),235,377 projeção,Leads (Trader),#DIV/0!,,Leads (Trader),27,59%
,CPL (Trader),$4.45,,CPL (Trader),,,CPL (Trader),,,,CPL (Trader),$6.24,65% projeção,CPL (Trader),$2.90,,CPL (Trader),$2.53,,,CPL (Trader),$5.35,23% projeção,CPL (Trader),$5.35,,CPL (Trader),$6.89,,,CPL (Trader),,5178% projeção,CPL (Trader),$4.60,,CPL (Trader),7,,,CPL (Trader),,#DIV/0!,CPL (Trader),$5.61,,CPL (Trader),0%,
,Vendas,2.98,,Vendas,,,Vendas,,,,Vendas,62,37% rastreado,Vendas,71,,Vendas,,,,Vendas,34,19% rastreado,Vendas,65,,Vendas,,,,Vendas,0,4393% rastreado,Vendas,275348,,Vendas,,,,Vendas,,#DIV/0!,Vendas,#DIV/0!,,Vendas,,
,% Vendas,108,,% Vendas,,,% Vendas,,,,% Vendas,57.41%,,% Vendas,50%,,% Vendas,,,,% Vendas,31.48%,,% Vendas,50%,,% Vendas,,,,% Vendas,24.10%,,% Vendas,40%,,% Vendas,,,,% Vendas,#DIV/0!,,% Vendas,40%,,% Vendas,,
,% Conversão,1.81%,,% Conversão,,,% Conversão,,,,% Conversão,1.54%,,% Conversão,1.54%,,% Conversão,,,,% Conversão,2.85%,,% Conversão,2.85%,,% Conversão,,,,% Conversão,822600.00%,,% Conversão,822600.00%,,% Conversão,,,,% Conversão,,,% Conversão,,,% Conversão,,
,Faturamento,$730.00,,Faturamento,"$100,000.00",,Faturamento,,,,Faturamento,"$43,772.00",,Faturamento,"$50,000.00",,Faturamento,,,,Faturamento,"$26,418.00",,Faturamento,"$50,000.00",,Faturamento,,,,Faturamento,$0.01,,Faturamento,"$40,000.00",,Faturamento,,,,Faturamento,,,Faturamento,"$40,000.00",,Faturamento,,
,ROAS,100.00%,,ROAS,,,ROAS,,,,ROAS,2.65,,ROAS,3.30,,ROAS,,,,ROAS,4.13,,ROAS,5.11,,ROAS,,,,ROAS,0.73,,ROAS,324.70,,ROAS,,,,ROAS,,,ROAS,#DIV/0!,,ROAS,,
,Ticket Médio,"$78,950.00",,Ticket Médio,,,Ticket Médio,,,,Ticket Médio,$706.00,,Ticket Médio,$706.00,,Ticket Médio,,,,Ticket Médio,$777.00,,Ticket Médio,$777.00,,Ticket Médio,,,,Ticket Médio,$0.15,,Ticket Médio,$0.15,,Ticket Médio,,,,Ticket Médio,,,Ticket Médio,,,Ticket Médio,,
,Vendas (Trader),$3.88,,Vendas (Trader),,,Vendas (Trader),,,,Vendas (Trader),27,44% traders,Vendas (Trader),31,,Vendas (Trader),,,,Vendas (Trader),11,33% traders,Vendas (Trader),21,,Vendas (Trader),,,,Vendas (Trader),11,4565% traders,Vendas (Trader),"12,569,636",,Vendas (Trader),,,,Vendas (Trader),11,#DIV/0!,Vendas (Trader),#DIV/0!,,Vendas (Trader),,
