"Início dos relatórios","Término dos relatórios","Nome da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Compras diretas no site","Finalizações de compra iniciadas","Custo por finalização de compra iniciada (BRL)","Visualizações da página de destino do site","Taxa de visualizações da página de destino por cliques no link",Impressões,"CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","Cliques no link",Resultados,"Indicador de resultados","Custo por resultados","Hook Rate","Hold Rate",Frequência,"CPM (custo por 1.000 impressões) (BRL)"
2025-01-01,2025-06-24,"02JAN25_Criativo 1_2_3_Publico aberto_Advantage Campanha Campanha","Usando o orçamento do conjunto de anúncios",0,393.03,0,10,39.303,75,56.818182,19337,0.682629,2.9775,132,,,,0.17381186,0.01561773,2.072117,20.325283
2025-01-01,2025-06-24,"25JAN25_Criativo 1_2_3_Publico aberto_Advantage Campanha  Campanha","Usando o orçamento do conjunto de anúncios",0,342.41,0,7,48.915714,48,55.172414,11737,0.741246,3.935747,87,,,,0.1967283,0.01763653,1.69757,29.173554
2025-01-01,2025-06-24,"02FEv25_Criativos JAN25 Campanha","Usando o orçamento do conjunto de anúncios",0,2627.95,7,42,62.570238,693,50.363372,98750,1.393418,1.909847,1376,7,actions:offsite_conversion.fb_pixel_purchase,375.42142857,0.31666835,0.02509367,2.330713,26.612152
2025-01-01,2025-06-24,"05FEv25_Criativos JAN25 Campanha Campanha","Usando o orçamento do conjunto de anúncios",0,786.65,0,5,157.33,90,57.324841,15213,1.032012,5.01051,157,,,,0.32472228,0.0241241,1.610864,51.709065
2025-01-01,2025-06-24,"08Mar25_GRP_Criativo 1_2_3_Publico aberto_Advantage C Campanha","Usando o orçamento do conjunto de anúncios",0,272.25,0,,,26,66.666667,5745,0.678851,6.980769,39,,,,0.19704091,0.01914708,1.518636,47.389034
2025-01-01,2025-06-24,"11Mar25_GRP_Criativo 1_2_3_Publico aberto_Advantage Campanha","Usando o orçamento do conjunto de anúncios",0,93.61,1,1,93.61,9,81.818182,937,1.173959,8.51,11,1,actions:offsite_conversion.fb_pixel_purchase,93.61,0.23585912,0.0266809,1.183081,99.903949
2025-01-01,2025-06-24,"18Mar25_GRP_CTVs mais vendidos Campanha","Usando o orçamento do conjunto de anúncios",0,605.84,0,6,100.973333,45,47.87234,11206,0.838836,6.445106,94,,,,0.16723184,0.0169552,1.99537,54.063894
2025-01-01,2025-06-24,"22Mar25_GRP_CTVs mais vendidos_site antigo Campanha","Usando o orçamento do conjunto de anúncios",0,171.83,0,1,171.83,,0,2804,0.891583,6.8732,25,,,,0.18295292,0.01997147,1.304793,61.280314
2025-01-01,2025-06-24,"06ABR25_GRP_CTVs ABR25 - Teste de 12 criativos - 500BRL Campanha","Usando o orçamento do conjunto de anúncios",0,1872.79,7,11,170.253636,391,59.969325,51761,1.259636,2.872377,652,7,actions:offsite_conversion.fb_pixel_purchase,267.54142857,0.27060915,0.02743378,2.368599,36.181488
2025-01-01,2025-06-24,"03MAI25_Criativo 1_2_3_Publico aberto_Advantage Campanha — Cópia Campanha","Usando o orçamento do conjunto de anúncios",0,268.47,0,5,53.694,43,59.722222,7419,0.970481,3.72875,72,,,,0.19072651,0.01496159,1.607236,36.186818
2025-01-01,2025-06-24,"05JUN25_Criativos JAN25 Campanha Campanha","Usando o orçamento do conjunto de anúncios",0,448.29,0,,,,0,27785,0.820587,1.966184,228,,,,0.25650531,0.01756343,1.956552,16.134245
2025-01-01,2025-06-24,"22JUN25_Criativos Boi em alta",100,Diário,214.23,0,,,,0,8065,1.16553,2.279043,94,,,,0.23372598,0.0483571,1.857867,26.562926
