,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Período,01/01 a 24/06,,01/01 a 24/06,,01/01 a 24/06,,01/01 a 24/06
,Curso,Formulando na Pratica,,Suplementação na Pratica,,Recria na Pratica,,Gestão de Risco na Pratica
,Vendas total,84,,92,,80,,36
,Vendas Comercial,11,,21,,17,,8
,Vendas Clientes,11,,11,,0,,0
,Vendas anúncios,62,,60,,63,,28
,Faturado total Bruto," R$  25.168,08 ",," R$  58.052,00 ",," R$  38.378,40 ",," R$  22.681,80 "
,Ticket médio," R$  299,62 ",," R$  631,00 ",," R$  479,73 ",," R$  630,05 "
,Valor usado anúncios," R$  15.819,64 ",," R$  27.867,66 ",," R$  15.471,54 ",," R$  8.097,35 "
,Custo/venda," R$  255,16 ",," R$  464,46 ",," R$  245,58 ",," R$  289,19 "
,Média Facebook," R$  455,84 ",," R$  392,50 ",," R$  336,34 ",," R$  245,52 "
,Média geral," R$  216,71 ",," R$  344,05 ",," R$  193,39 ",," R$  224,93 "
,Margem Lucro Bruta,28%,,45%,,60%,,64%
,Faturamento Total Liquido," R$  6.964,66 ",," R$  26.399,84 ",," R$  22.906,86 ",," R$  14.584,45 "
,,,,,,,,
,," R$  18.576,44 ",," R$  37.860,00 ",," R$  30.222,99 ",," R$  17.641,40 "
,,"1,174264395",,"1,358564013",,"1,953457122",,"2,17866339"
,,,,,,,,
,,"0,8515969691",,"0,7360713154",,"0,511912951",,"0,4589970184"
