"Início dos relatórios","Término dos relatórios","Nome da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Compras diretas no site","Finalizações de compra iniciadas","Custo por finalização de compra iniciada (BRL)","Visualizações da página de destino do site","Taxa de visualizações da página de destino por cliques no link",Impressões,"CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","Cliques no link",Resultados,"Indicador de resultados","Custo por resultados",custom_derived_metrics:3246224008858529,custom_derived_metrics:25327947433491656,Frequência,"CPM (custo por 1.000 impressões) (BRL)"
2025-01-01,2025-06-24,01DEZ24_RECRIA_1ANO_REBOOST,"Usando o orçamento do conjunto de anúncios",0,2352.14,15,27,87.116296,647,66.020408,150733,0.650156,2.400143,980,15,actions:offsite_conversion.fb_pixel_purchase,156.80933333,0.21104204,0.02699475,2.776799,15.604678
2025-01-01,2025-06-24,"01DEZ24_RECRIA_1ANO_REBOOST - Advantage+ shopping campaign - Copy","Usando o orçamento do conjunto de anúncios",0,2862.92,12,40,71.573,682,61.943688,166779,0.660155,2.600291,1101,12,actions:offsite_conversion.fb_pixel_purchase,238.57666667,0.21401975,0.02734157,3.005514,17.16595
2025-01-01,2025-06-24,"22Fev25_RNP_CHURRASCO_PECUARIAVIDEOS 2023- Campanha de Compras Advantage+","Usando o orçamento do conjunto de anúncios",0,1692.61,6,17,99.565294,200,52.910053,42067,0.898567,4.477804,378,6,actions:offsite_conversion.fb_pixel_purchase,282.10166667,0.19212209,0.01932631,2.976088,40.236052
2025-01-01,2025-06-24,"11MAR25_RECRIA 2.0 -  Campanha Campanha Campanha","Usando o orçamento do conjunto de anúncios",0,79.21,1,1,79.21,10,50,1667,1.19976,3.9605,20,1,actions:offsite_conversion.fb_pixel_purchase,79.21,0.28914217,0.02519496,1.356387,47.516497
2025-01-01,2025-06-24,"15MAR_Recria na Prática_CTV Re-editados Campanha","Usando o orçamento do conjunto de anúncios",0,2158.54,14,19,113.607368,350,55.205047,68812,0.921351,3.404637,634,14,actions:offsite_conversion.fb_pixel_purchase,154.18142857,0.22017962,0.02843981,3.146986,31.368657
2025-01-01,2025-06-24,"22MAR_Recria na Prática_CTV Re-editados_site antigo Campanha","Usando o orçamento do conjunto de anúncios",0,2693.27,14,25,107.7308,188,22.623345,85524,0.971657,3.240999,831,14,actions:offsite_conversion.fb_pixel_purchase,192.37642857,0.22467378,0.03049436,3.047029,31.491394
2025-01-01,2025-06-24,"06ABR25_Recria na Prática_CTV Re-editados_Novo teste",50,Diário,4698.83,7,27,174.030741,1439,57.148531,299384,0.84106,1.866096,2518,7,actions:offsite_conversion.fb_pixel_purchase,671.26142857,0.24283863,0.02177805,3.249124,15.694994
2025-01-01,2025-06-24,"03MAI_Recria na Prática_CTV Re-editados",100,Diário,3262.67,4,19,171.719474,432,50.58548,122181,0.698963,3.820457,854,4,actions:offsite_conversion.fb_pixel_purchase,815.6675,0.18047814,0.0150187,2.780823,26.703579
2025-01-01,2025-06-24,"24MAI25[CHURRASCO_PECUARIA][VIDEOS 2023]",80,Diário,511.59,0,1,511.59,1,0.847458,17144,0.688287,4.335508,118,,,,0.14687354,0.01213252,1.637597,29.840761
2025-01-01,2025-06-24,"16JUN24_RECRIA 2.0 -",90,Diário,374.82,0,,,,0,13904,1.021289,2.639577,142,,,,0.20325086,0.01589471,1.752679,26.95771
