DATA,"Ingressos 
 (Planejado)","Ingressos 
(Real)","Ingressos 
 (Tráfego)","Ingressos
Tráfego
(Real)",Ingressos Acumulado (Planejado),Diferença,Lote, Ticket ," CPV
(Planejado) "," CPV
(Real) "," CPV Tráfego
(Planejado) "," CPV Tráfego
(Real) ", Investimento (Planejado) , Investimento (Real) ,"Diferença
(diária)", Faturamento (Planejado) , Faturamento (Real) ,"Diferença
(diária)",% dia, Valor Gasto Acumulado (Planejado) ,,,
TOTAL,477,232,391,115,#N/A,"48,64%",," R$  42,03 "," R$  54,00 "," R$  101,60 "," R$  65,88 "," R$  204,97 "," R$  25.760,00 "," R$  23.571,27 ",#N/A," R$  20.049,00 "," R$  24.828,00 ","123,84%","100,00%",#N/A,,,
30/12/2025,11,3,9,2,,"27,27%",Lote 0," R$  27,00 "," R$  28,00 "," R$  29,21 "," R$  34,23 "," R$  43,82 "," R$  308,04 "," R$  87,63 ","28,45%"," R$  297,00 "," R$  81,00 ","27,27%","1,20%",,,,
31/12/2025,11,6,9,3,22,"54,55%",Lote 0," R$  27,00 "," R$  28,00 "," R$  16,34 "," R$  34,23 "," R$  32,67 "," R$  308,04 "," R$  98,01 ","31,82%"," R$  297,00 "," R$  219,00 ","73,74%","1,20%"," R$  616,07 ",,,
01/01/2026,11,6,9,4,33,"54,55%",Lote 0," R$  27,00 "," R$  28,00 "," R$  31,69 "," R$  34,23 "," R$  47,54 "," R$  308,04 "," R$  190,15 ","61,73%"," R$  297,00 "," R$  613,00 ","206,40%","1,20%"," R$  924,11 ",,,
02/01/2026,11,20,9,1,44,"181,82%",Lote 0," R$  27,00 "," R$  28,00 "," R$  12,84 "," R$  34,23 "," R$  256,74 "," R$  308,04 "," R$  256,74 ","83,35%"," R$  297,00 "," R$  2.642,00 ","889,56%","1,20%"," R$  1.232,15 ",,,
03/01/2026,11,12,9,5,55,"109,09%",Lote 0," R$  27,00 "," R$  28,00 "," R$  23,00 "," R$  34,23 "," R$  55,19 "," R$  308,04 "," R$  275,95 ","89,58%"," R$  297,00 "," R$  1.366,00 ","459,93%","1,20%"," R$  1.540,19 ",,,
04/01/2026,11,3,9,2,66,"27,27%",Lote 1," R$  32,00 "," R$  38,72 "," R$  147,77 "," R$  47,33 "," R$  221,65 "," R$  425,93 "," R$  443,30 ","104,08%"," R$  352,00 "," R$  288,00 ","81,82%","1,65%"," R$  1.966,11 ",,,
05/01/2026,11,10,9,5,77,"90,91%",Lote 1," R$  32,00 "," R$  38,72 "," R$  55,66 "," R$  47,33 "," R$  111,33 "," R$  425,93 "," R$  556,64 ","130,69%"," R$  352,00 "," R$  875,00 ","248,58%","1,65%"," R$  2.392,04 ",,,
06/01/2026,11,6,9,3,88,"54,55%",Lote 1," R$  32,00 "," R$  38,72 "," R$  113,76 "," R$  47,33 "," R$  227,52 "," R$  425,93 "," R$  682,55 ","160,25%"," R$  352,00 "," R$  783,00 ","222,44%","1,65%"," R$  2.817,97 ",,,
07/01/2026,11,6,9,5,99,"54,55%",Lote 1," R$  32,00 "," R$  38,72 "," R$  96,74 "," R$  47,33 "," R$  116,08 "," R$  425,93 "," R$  580,42 ","136,27%"," R$  352,00 "," R$  840,00 ","238,64%","1,65%"," R$  3.243,90 ",,,
08/01/2026,11,13,9,3,110,"118,18%",Lote 1," R$  32,00 "," R$  38,72 "," R$  39,33 "," R$  47,33 "," R$  170,43 "," R$  425,93 "," R$  511,30 ","120,04%"," R$  352,00 "," R$  1.044,00 ","296,59%","1,65%"," R$  3.669,83 ",,,
09/01/2026,11,7,9,1,121,"63,64%",Lote 1," R$  32,00 "," R$  38,72 "," R$  48,86 "," R$  47,33 "," R$  342,01 "," R$  425,93 "," R$  342,01 ","80,30%"," R$  352,00 "," R$  702,00 ","199,43%","1,65%"," R$  4.095,75 ",,, 
10/01/2026,15,8,12,6,136,"53,33%",Lote 2," R$  37,00 "," R$  51,17 "," R$  38,98 "," R$  63,96 "," R$  51,97 "," R$  767,50 "," R$  311,82 ","40,63%"," R$  555,00 "," R$  624,00 ","112,43%","2,98%"," R$  4.863,25 ",,,
11/01/2026,15,2,12,1,151,"13,33%",Lote 2," R$  37,00 "," R$  51,17 "," R$  185,97 "," R$  63,96 "," R$  371,94 "," R$  767,50 "," R$  371,94 ","48,46%"," R$  555,00 "," R$  271,00 ","48,83%","2,98%"," R$  5.630,75 ",,,
12/01/2026,15,5,12,3,166,"33,33%",Lote 2," R$  37,00 "," R$  51,17 "," R$  71,07 "," R$  63,96 "," R$  118,44 "," R$  767,50 "," R$  355,33 ","46,30%"," R$  555,00 "," R$  953,00 ","171,71%","2,98%"," R$  6.398,25 ",,,
13/01/2026,15,7,12,5,181,"46,67%",Lote 2," R$  37,00 "," R$  51,17 "," R$  49,29 "," R$  63,96 "," R$  69,01 "," R$  767,50 "," R$  345,05 ","44,96%"," R$  555,00 "," R$  441,00 ","79,46%","2,98%"," R$  7.165,75 ",,,
14/01/2026,15,14,12,5,196,"93,33%",Lote 2," R$  37,00 "," R$  51,17 "," R$  34,59 "," R$  63,96 "," R$  96,85 "," R$  767,50 "," R$  484,23 ","63,09%"," R$  555,00 "," R$  1.749,00 ","315,14%","2,98%"," R$  7.933,25 ",,,
15/01/2026,14,9,12,5,210,"64,29%",Lote 3," R$  42,00 "," R$  65,34 "," R$  57,51 "," R$  76,23 "," R$  103,53 "," R$  914,78 "," R$  517,63 ","56,59%"," R$  588,00 "," R$  806,00 ","137,07%","3,55%"," R$  8.848,03 ",,,
16/01/2026,14,3,12,1,224,"21,43%",Lote 3," R$  42,00 "," R$  65,34 "," R$  193,05 "," R$  76,23 "," R$  579,15 "," R$  914,78 "," R$  579,15 ","63,31%"," R$  588,00 "," R$  126,00 ","21,43%","3,55%"," R$  9.762,81 ",,,
17/01/2026,14,4,12,3,238,"28,57%",Lote 3," R$  42,00 "," R$  65,34 "," R$  196,44 "," R$  76,23 "," R$  261,91 "," R$  914,78 "," R$  785,74 ","85,89%"," R$  588,00 "," R$  983,00 ","167,18%","3,55%"," R$  10.677,59 ",,,
18/01/2026,14,6,12,5,252,"42,86%",Lote 3," R$  42,00 "," R$  65,34 "," R$  252,94 "," R$  76,23 "," R$  303,53 "," R$  914,78 "," R$  1.517,65 ","165,90%"," R$  588,00 "," R$  646,00 ","109,86%","3,55%"," R$  11.592,36 ",,,
19/01/2026,14,4,12,3,266,"28,57%",Lote 3," R$  42,00 "," R$  65,34 "," R$  389,27 "," R$  76,23 "," R$  519,03 "," R$  914,78 "," R$  1.557,08 ","170,21%"," R$  588,00 "," R$  225,00 ","38,27%","3,55%"," R$  12.507,14 ",,,
20/01/2026,14,14,12,10,280,"100,00%",Lote 3," R$  42,00 "," R$  65,34 "," R$  122,06 "," R$  76,23 "," R$  170,88 "," R$  914,78 "," R$  1.708,83 ","186,80%"," R$  588,00 "," R$  1.635,00 ","278,06%","3,55%"," R$  13.421,92 ",,,
21/01/2026,15,6,12,3,295,"40,00%",Lote 4," R$  47,00 "," R$  65,00 "," R$  270,15 "," R$  81,24 "," R$  540,30 "," R$  974,93 "," R$  1.620,91 ","166,26%"," R$  705,00 "," R$  434,00 ","61,56%","3,78%"," R$  14.396,85 ",,,
