Data,Campanha,AD ID, Investimento ,Cliques,Impressões,Frequência,CPM,View 3seg,View 75%,Link Criativo
16/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  15,94 ",77,3611,"1,06","4,41",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
16/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  11,94 ",45,2502,"1,06","4,77",13,0,https://www.instagram.com/p/DSVmAx8gDep/
17/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  22,26 ",113,4756,"1,05","4,68",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
17/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  21,17 ",58,4487,"1,17","4,72",19,0,https://www.instagram.com/p/DSVmAx8gDep/
18/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  25,14 ",68,4500,"1,06","5,59",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
18/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  22,24 ",46,4925,"1,15","4,52",16,0,https://www.instagram.com/p/DSVmAx8gDep/
19/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  24,16 ",86,4687,"1,05","5,15",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
19/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  24,63 ",45,5008,"1,09","4,92",25,0,https://www.instagram.com/p/DSVmAx8gDep/
20/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  23,91 ",75,5128,"1,04","4,66",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
20/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  27,00 ",58,5160,"1,12","5,23",33,0,https://www.instagram.com/p/DSVmAx8gDep/
21/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  27,28 ",136,6937,"1,07","3,93",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
21/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  28,31 ",103,7186,"1,14","3,94",29,0,https://www.instagram.com/p/DSVmAx8gDep/
22/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  24,94 ",120,6307,"1,04","3,95",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
22/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  24,73 ",79,7801,"1,13","3,17",31,0,https://www.instagram.com/p/DSVmAx8gDep/
23/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  24,26 ",108,5727,"1,08","4,24",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
23/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  23,69 ",67,6412,"1,07","3,69",18,0,https://www.instagram.com/p/DSVmAx8gDep/
24/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  23,45 ",159,6072,"1,05","3,86",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
24/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  23,38 ",55,6164,"1,09","3,79",4,0,https://www.instagram.com/p/DSVmAx8gDep/
25/12/2025,Follow 04 | Essa continha simples revela...,120236984085790429," R$  12,86 ",107,4199,"1,02","3,06",0,0,https://www.instagram.com/p/DRk7QZYgLX9/
25/12/2025,Follow 05 | O desempenho do boi começa...,120238054375770429," R$  12,67 ",47,3825,"1,03","3,31",5,0,https://www.instagram.com/p/DSVmAx8gDep/
25/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  12,13 ",16,2970,"1,12","4,08",697,230,https://www.instagram.com/p/DSsekbgADFA/
25/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  12,53 ",32,2243,"1,09","5,59",1162,68,https://www.instagram.com/p/DSsfCAagAuP/
26/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  23,57 ",55,6497,"1,14","3,63",1337,465,https://www.instagram.com/p/DSsekbgADFA/
26/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  24,14 ",62,5431,"1,14","4,44",2415,202,https://www.instagram.com/p/DSsfCAagAuP/
27/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  24,00 ",43,5682,"1,12","4,22",1095,392,https://www.instagram.com/p/DSsekbgADFA/
27/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  22,85 ",66,4991,"1,11","4,58",2125,136,https://www.instagram.com/p/DSsfCAagAuP/
28/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  26,47 ",30,5270,"1,1","5,02",1074,367,https://www.instagram.com/p/DSsekbgADFA/
28/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  26,74 ",84,6028,"1,14","4,44",2653,146,https://www.instagram.com/p/DSsfCAagAuP/
29/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  24,15 ",39,4616,"1,08","5,23",1004,303,https://www.instagram.com/p/DSsekbgADFA/
29/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  24,34 ",68,5871,"1,08","4,15",2393,155,https://www.instagram.com/p/DSsfCAagAuP/
30/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  23,53 ",25,4827,"1,12","4,87",1032,293,https://www.instagram.com/p/DSsekbgADFA/
30/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  24,29 ",42,5079,"1,05","4,78",2211,120,https://www.instagram.com/p/DSsfCAagAuP/
31/12/2025,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  23,78 ",41,3947,"1,07","6,02",1039,335,https://www.instagram.com/p/DSsekbgADFA/
31/12/2025,Follow 07 | #pecuarialucrativa,120238483770980429," R$  20,66 ",58,4836,"1,07","4,27",2047,112,https://www.instagram.com/p/DSsfCAagAuP/
01/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  27,51 ",58,4965,"1,09","5,54",1444,477,https://www.instagram.com/p/DSsekbgADFA/
01/01/2026,Follow 07 | #pecuarialucrativa,120238483770980429," R$  27,53 ",115,7066,"1,08","3,9",3119,185,https://www.instagram.com/p/DSsfCAagAuP/
02/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  24,48 ",66,6352,"1,12","3,85",1768,571,https://www.instagram.com/p/DSsekbgADFA/
02/01/2026,Follow 07 | #pecuarialucrativa,120238483770980429," R$  25,30 ",151,7670,"1,11","3,3",3288,192,https://www.instagram.com/p/DSsfCAagAuP/
03/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  24,89 ",54,5411,"1,07","4,6",1529,491,https://www.instagram.com/p/DSsekbgADFA/
03/01/2026,Follow 07 | #pecuarialucrativa,120238483770980429," R$  26,06 ",120,7531,"1,06","3,46",3052,162,https://www.instagram.com/p/DSsfCAagAuP/
04/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  27,26 ",65,5879,"1,09","4,64",1736,541,https://www.instagram.com/p/DSsekbgADFA/
04/01/2026,Follow 07 | #pecuarialucrativa,120238483770980429," R$  26,28 ",151,7739,"1,05","3,4",3383,221,https://www.instagram.com/p/DSsfCAagAuP/
05/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  23,14 ",48,4647,"1,06","4,98",1445,499,https://www.instagram.com/p/DSsekbgADFA/
05/01/2026,Follow 07 | #pecuarialucrativa,120238483770980429," R$  24,40 ",121,6802,"1,05","3,59",2844,180,https://www.instagram.com/p/DSsfCAagAuP/
06/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  24,64 ",35,5192,"1,06","4,75",1401,418,https://www.instagram.com/p/DSsekbgADFA/
06/01/2026,Follow 07 | #pecuarialucrativa,120238483770980429," R$  24,52 ",82,5956,"1,04","4,12",2446,132,https://www.instagram.com/p/DSsfCAagAuP/
07/01/2026,Follow 06 | Quer entender mais sobre a...,120238483604090429," R$  18,00 ",23,2202,"1,03","8,17",666,221,https://www.instagram.com/p/DSsekbgADFA/
