Data,Campanha,Público,Criativo,Ad ID, Investimento , Faturamento (Tráfego) ,Vendas,Checkout,Visitou Página,Cliques,Impressões,Frequência, CPM ,View 3seg,View 75%,Link Criativo,Thumbnail URL,AD Status,Orçamento,"Leads 
(checkout real)","Vendas 
(real)", Faturamento (Bruto) , Comissão Líquida , Taxa (Plataforma) , Faturamento (Ingresso) , Faturamento (OrderBump) 
30/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD001 - Construa o Planejamento,120238632398440429," R$  6,86 ", R$  -   ,0,0,0,1,371,"1,33"," R$  18,49 ",0,0,https://www.instagram.com/p/DS3q18hgBmf/,https://scontent.xx.fbcdn.net/v/t45.1600-4/608400403_25547002191586178_3134518998202046121_n.png?_nc_cat=110&ccb=1-7&_nc_ohc=9tJTzGLtwC0Q7kNvwGMCiN6&_nc_oc=Adk-W1Xguln4_YuaNz-AjAE5Nbd4qEJe3WDO14o3S27ovKjG_FrntDe4RMIgGCKHtQc&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQGusb644kw_H-JwfkMoCBBB_KwVoks7hz_9QLOX0q0yo9CUNlEUTmzYqj2wR4k05HSwpmSf-Hux&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_Afs-O8QTxDgEVAj7ZfD6MzYz7TdEbISl0eIviO3aMPPqhg&oe=698FA34C,PAUSED,250,0,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
30/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD002 - O mapa completo,120238632405980429," R$  15,38 ", R$  -   ,0,0,6,7,966,"1,57"," R$  15,92 ",0,0,https://www.instagram.com/p/DTOtYVjAIlN/,https://scontent.xx.fbcdn.net/v/t45.1600-4/607046069_25547067534912977_5954111335917110406_n.png?_nc_cat=109&ccb=1-7&_nc_ohc=LL8HslcyhVYQ7kNvwGeMvIp&_nc_oc=AdkdsT0v2Yx3_XzSdnKVq7zHzopNfizWlz0i-FewhuVm4r_zevp0-KYlsTWxCOUZJUk&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQFiAzAP1-9ESth6tNrWBjc_EkLcOzdizPbVLsmtwEDNmssAFi_g5DRAxwLF0dDvFmULKOTMhkL-&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_AfsNPFCBktbSKSMvPKbYWnjBr6wsWTEzJlbX3LKxQJYKGQ&oe=698F8BC2,PAUSED,250,1,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
30/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD003 - Sua fazenda não pode - L0,120238632415060429," R$  6,29 ", R$  -   ,0,0,1,2,331,"1,4"," R$  19,00 ",0,0,https://www.instagram.com/p/DS3q1GKgCfb/,https://scontent.xx.fbcdn.net/v/t45.1600-4/608626643_25547073638245700_6544609600084743291_n.png?_nc_cat=101&ccb=1-7&_nc_ohc=5RuqmvCEI6wQ7kNvwFwL2Fm&_nc_oc=Adk0h-xjUQj2RaYdbWa84PpDgSc206wGXaV38FRBQdhK0FlWckQDcCqnGZeN8IWJBQc&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQFW4wfnaGF_l-npwIp-NfvKcKjEvry-bgZMWNJMRtZPrUN0jloP9dUNW0XVh14RHB2zwZ4pa9oS&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_AftciHeBYC-FuchYGO6ROPiKa8pSutaH_KXvoz5tvFHdmw&oe=698FB5A7,PAUSED,250,0,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
30/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD004 - Transforme sua fazenda (31 Janeiro) - L0,120238632415070429," R$  16,60 ", R$  -   ,0,0,0,3,931,"1,44"," R$  17,83 ",0,0,https://www.instagram.com/p/DS3q0wCgDP3/,https://scontent.xx.fbcdn.net/v/t45.1600-4/608009327_25547076848245379_7640365100578552341_n.png?_nc_cat=105&ccb=1-7&_nc_ohc=6QYObnDJXIYQ7kNvwEMgjzs&_nc_oc=AdkJKFWsgYEPBXrFuqLzGG_9al_Up7gfdhcJ1yyUCY1orMrs2Ty4BbOp_x5d1wmUGHE&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQH_S2NESEVZz44q3pvD6ksN2VhbeN2E94QUX6IN9sRoJru8os9kREgi7INdJOx8lIbA0FPYFWK9&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_Afvmc7YZ6BrW8cA92FQncvjmYPvMw3rEXqxWUGMkUk3Wzg&oe=698F8C68,PAUSED,250,0,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
30/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD005 - Transforme sua fazenda (Lançamento) - L0,120238632446150429," R$  10,90 ", R$  -   ,0,0,5,7,720,"1,6"," R$  15,14 ",0,0,https://www.instagram.com/p/DS3qzpVAG9r/,https://scontent.xx.fbcdn.net/v/t45.1600-4/607065564_25547133124906418_3184897432908374886_n.png?_nc_cat=106&ccb=1-7&_nc_ohc=nUJyZmvRFoAQ7kNvwEGUOUR&_nc_oc=Adkz-Cw3PHdtfYPxCw5l0W3dx9WMGjzO8PTpmgAjqNPRQnkZPZr769uUqhGjdSuR_88&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQFtRqNzH3vmUMFxObd4F70rqiFKelbFeUClY908h4pG_OBkTWKuAnr2VJWf2pKeaL27h2BDRwdP&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_Afv2afpbSGLtveFU0KhcPl6m2JxrHxWwfwS4XGynsRow6g&oe=698F952B,PAUSED,250,1,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
30/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD006 - Imersão prática 1 dia - L0,120238632446160429," R$  31,60 "," R$  54,00 ",2,2,9,12,1916,"1,64"," R$  16,49 ",0,0,https://www.instagram.com/p/DS3q0dXACvJ/,https://scontent.xx.fbcdn.net/v/t45.1600-4/607611532_25547137658239298_6228388001455242382_n.png?_nc_cat=102&ccb=1-7&_nc_ohc=f3pu3bz1V9oQ7kNvwGWxO9c&_nc_oc=AdlVmQHJLzfHcpfLl_DGzlV6prjMaHOkHIoPGBtVNz2VqRvhfmcPkITvJ8ub348uIA4&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQHcn16WxArL0p7JKja5ifV6p6Q_bOX3dcWcSu00mRk8GFaTm5MghAyNYPhKX4SVybKZweNsAQye&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_AfuoBKAVSaB3BRKlM3FCrb5P5bWHO4nyNDWtpJi7e785Ug&oe=698F8C9E,PAUSED,250,2,2," R$  54,00 "," R$  49,84 "," R$  4,16 "," R$  54,00 ", R$  -   
31/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD001 - Construa o Planejamento,120238632398440429," R$  0,06 ", R$  -   ,0,0,0,0,6,"1,2"," R$  10,00 ",0,0,https://www.instagram.com/p/DS3q18hgBmf/,https://scontent.xx.fbcdn.net/v/t45.1600-4/608400403_25547002191586178_3134518998202046121_n.png?_nc_cat=110&ccb=1-7&_nc_ohc=9tJTzGLtwC0Q7kNvwGMCiN6&_nc_oc=Adk-W1Xguln4_YuaNz-AjAE5Nbd4qEJe3WDO14o3S27ovKjG_FrntDe4RMIgGCKHtQc&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQGusb644kw_H-JwfkMoCBBB_KwVoks7hz_9QLOX0q0yo9CUNlEUTmzYqj2wR4k05HSwpmSf-Hux&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_Afs-O8QTxDgEVAj7ZfD6MzYz7TdEbISl0eIviO3aMPPqhg&oe=698FA34C,PAUSED,250,0,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
31/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD002 - O mapa completo,120238632405980429," R$  5,07 ", R$  -   ,0,0,2,2,315,"1,27"," R$  16,10 ",0,0,https://www.instagram.com/p/DTOtYVjAIlN/,https://scontent.xx.fbcdn.net/v/t45.1600-4/607046069_25547067534912977_5954111335917110406_n.png?_nc_cat=109&ccb=1-7&_nc_ohc=LL8HslcyhVYQ7kNvwGeMvIp&_nc_oc=AdkdsT0v2Yx3_XzSdnKVq7zHzopNfizWlz0i-FewhuVm4r_zevp0-KYlsTWxCOUZJUk&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQFiAzAP1-9ESth6tNrWBjc_EkLcOzdizPbVLsmtwEDNmssAFi_g5DRAxwLF0dDvFmULKOTMhkL-&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_AfsNPFCBktbSKSMvPKbYWnjBr6wsWTEzJlbX3LKxQJYKGQ&oe=698F8BC2,PAUSED,250,0,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
31/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD003 - Sua fazenda não pode - L0,120238632415060429," R$  4,24 ", R$  -   ,0,1,1,1,105,"1,24"," R$  40,38 ",0,0,https://www.instagram.com/p/DS3q1GKgCfb/,https://scontent.xx.fbcdn.net/v/t45.1600-4/608626643_25547073638245700_6544609600084743291_n.png?_nc_cat=101&ccb=1-7&_nc_ohc=5RuqmvCEI6wQ7kNvwFwL2Fm&_nc_oc=Adk0h-xjUQj2RaYdbWa84PpDgSc206wGXaV38FRBQdhK0FlWckQDcCqnGZeN8IWJBQc&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQFW4wfnaGF_l-npwIp-NfvKcKjEvry-bgZMWNJMRtZPrUN0jloP9dUNW0XVh14RHB2zwZ4pa9oS&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_AftciHeBYC-FuchYGO6ROPiKa8pSutaH_KXvoz5tvFHdmw&oe=698FB5A7,PAUSED,250,1,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
31/12/2025,[RA][VENDAS] Imersão Fazenda Lucrativa - Teste,00 - [Advantage] Público Aberto,AD004 - Transforme sua fazenda (31 Janeiro) - L0,120238632415070429," R$  1,51 ", R$  -   ,0,0,0,0,94,"1,02"," R$  16,06 ",0,0,https://www.instagram.com/p/DS3q0wCgDP3/,https://scontent.xx.fbcdn.net/v/t45.1600-4/608009327_25547076848245379_7640365100578552341_n.png?_nc_cat=105&ccb=1-7&_nc_ohc=6QYObnDJXIYQ7kNvwEMgjzs&_nc_oc=AdkJKFWsgYEPBXrFuqLzGG_9al_Up7gfdhcJ1yyUCY1orMrs2Ty4BbOp_x5d1wmUGHE&_nc_zt=1&_nc_ht=scontent.xx&edm=AOgd6ZUEAAAA&_nc_gid=21WJjViBtSlV5G7zzxZrFQ&_nc_tpa=Q5bMBQH_S2NESEVZz44q3pvD6ksN2VhbeN2E94QUX6IN9sRoJru8os9kREgi7INdJOx8lIbA0FPYFWK9&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&ur=4c02d7&_nc_sid=58080a&oh=00_Afvmc7YZ6BrW8cA92FQncvjmYPvMw3rEXqxWUGMkUk3Wzg&oe=698F8C68,PAUSED,250,0,0, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   
