Data,Conta de Anúncio,Campanha,Público,Criativo,Ad ID, Investimento , Faturamento (Tráfego) ,Vendas,Checkout,Visitou Página,Cliques,Impressões,Frequência, CPM ,View 3seg,View 75%,Link Criativo,Thumbnail URL,AD Status,Orçamento,"Leads 
(checkout real)","Vendas 
(real)", Faturamento (Bruto) , Comissão Líquida , Taxa (Plataforma) , Faturamento (Ingresso) , Faturamento (OrderBump) 
13/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD001 - O pecuarista que não,120241819703850429,"68,75",0,0,0,47,99,6214,"1,02","11,06",0,0,https://www.instagram.com/p/DV_JT40AISh/,https://external.xx.fbcdn.net/emg1/v/t13/2603904423672303347?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJCO3V3p0ygbzdxZ9enaPDW5hkq1_CznJ84_1xNiC4IY4A4Jb_E3bN86dKDO7UctFD-E9qmyMKiwnBq8ScheQOH02Z_j02Pd9vEDseS53oS6qXUHBFwCZO51SL5kq6AFoCLyTCzheJKqFcYWpa5CDze&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdouOKt8oYHwumvL5CZcFIsfCHpH5yRwnETKvzUTPV1eKrP-P5hzkGG_9MwlAdwtIew&ccb=13-1&oh=06_Q3-9Aa_YncmIUnwViqnZ-F2yzpCDnr4ow66VST1H4iaaM1kF&oe=69CEF963&_nc_sid=58080a,PAUSED,150,,,,,,,
15/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD001 - O pecuarista que não,120241819703850429,"13,61",0,0,0,4,14,297,"1,24","45,82",0,0,https://www.instagram.com/p/DV_JT40AISh/,https://external.xx.fbcdn.net/emg1/v/t13/2603904423672303347?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJCO3V3p0ygbzdxZ9enaPDW5hkq1_CznJ84_1xNiC4IY4A4Jb_E3bN86dKDO7UctFD-E9qmyMKiwnBq8ScheQOH02Z_j02Pd9vEDseS53oS6qXUHBFwCZO51SL5kq6AFoCLyTCzheJKqFcYWpa5CDze&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdouOKt8oYHwumvL5CZcFIsfCHpH5yRwnETKvzUTPV1eKrP-P5hzkGG_9MwlAdwtIew&ccb=13-1&oh=06_Q3-9Aa_YncmIUnwViqnZ-F2yzpCDnr4ow66VST1H4iaaM1kF&oe=69CEF963&_nc_sid=58080a,PAUSED,150,,,,,,,
15/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD002 - Manejar no olhometro,120241822139300429,"16,34",0,0,0,4,14,832,"1,1","19,64",0,0,https://www.instagram.com/p/DV_JT0nAFEW/,https://external.xx.fbcdn.net/emg1/v/t13/9242794386734658836?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIUa8CAJ4ckc5mE-zf2KoggmWkUReZ4krL5PGbUE3lAOdC2dSrYIJu2KX8rbmUca-mmByoVeBQrJIKxpeD90WjbM-u-4P4WeWlSAKekt-siCS-8jGYIYiNbZcIlkU0-JkQ6kf9L1LG73Kl6PssufDJ3&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdqS8HCDSF4iWjR8zFjVcn3vrhEVfmL-88ZeftLvoVWRA7qd5KkAk2wmU0kvZmMyMuI&ccb=13-1&oh=06_Q3-9Adx6wJ5uCKOQ160dAB83zlYspuHs_0YxD3BUZRstQlPx&oe=69CF201E&_nc_sid=58080a,PAUSED,150,,,,,,,
15/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD003 - Gestão do pasto,120241822139310429,"14,46",0,0,0,14,24,705,"1,32","20,51",0,0,https://www.instagram.com/p/DV_JT0HAH3v/,https://external.xx.fbcdn.net/emg1/v/t13/13065861944801083276?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLh66VnSc8ueAngUAt9v4G2PSmdI7vR6mTn84pf9pcI0zh2fkD1y_1OEcWygQxzlgsPwj8tX30dTnuI7v3J8c09jeid4W57h0wWI5E_3S8JHl03HtYPIwRHnEaeN6xllT9kheCHKM-RG0nzyXA3A1fo&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdqcCqbGnsxXewkdruGrKrsXkhHyQ6aO1wRwycX3BJMec925ClcwujLGI8p8WXLhghg&ccb=13-1&oh=06_Q3-9AdHIlmKLo0ODKNSuHOHnrniau0mZmhbUgW8u-cZ3hOmQ&oe=69CF02F8&_nc_sid=58080a,ACTIVE,150,,,,,,,
15/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD004 - Coloque até 2x mais,120241822139260429,"34,31",0,0,1,18,40,2105,"1,22","16,3",0,0,https://www.instagram.com/p/DV_JTvIgFHD/,https://external.xx.fbcdn.net/emg1/v/t13/7038129135912776021?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJ-8BRXxwlqtfefMCKsuGmuUeUPORDTfVseKcXsjnUr2Q4ati1s5WVHQeJGXiDYkSnFOQJSjynbgnT1x3uo2OBspkbJBXj-v64XSnuZNQhyANVRBWuFZxR0LoyfeBzhzgi4uLg0pliWq7qxgJNzATr1&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=Adr0sULdJIZy365jVLzsfhRgY1Kei_TDzuziJJUkVhlPcU7a6Aab4JdJmT7nZP0Axgc&ccb=13-1&oh=06_Q3-9AR0wTrPnb7BWmP_2N4lGuHBeFSnbYxD5zQz2ErG6lZQN&oe=69CEFDF0&_nc_sid=58080a,PAUSED,150,,,,,,,
15/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD005 - O erro típico,120241822139270429,"0,45",0,0,0,2,2,25,"1,14",18,0,0,https://www.instagram.com/p/DV_JT1ZACeP/,https://external.xx.fbcdn.net/emg1/v/t13/12579726523685991450?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKsonrFFmmgjsbySMZykMGbecKmUjdQgE3UDN7hDNdBAdFU_KD3QdAVDnv0-uLICKUIcrSBkC7wXNbLPM2paHK0IYcXee4UwA7G-jCpGYObcB1DKWfDNEw4XN80Of0QWbpo7a4XSiGBbFFW6XyfOGTl&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=Adp4G8O2xtLsypDoI6OStLVcNP0WI-xmbZdxPlEUiRZDQUHaQEWaWUNJlbgDs-AwCUY&ccb=13-1&oh=06_Q3-9AT0XWHjhn-e-11CpoNMvbK9JafPrsEtzvgoerWOPtt3r&oe=69CEFE25&_nc_sid=58080a,PAUSED,150,,,,,,,
15/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD007 - Enquete do manejo,120241822139280429,"1,84",0,0,0,0,0,47,"1,07","39,15",0,0,https://www.instagram.com/p/DV_JTyNAJj7/,https://external.xx.fbcdn.net/emg1/v/t13/8839943925757702190?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQK9aLL_ddq8TpT-yP3MwHE-7mLlFB6cU5NoYSyaPLqPUtybt0XG4CiNHdJCdAJoNMFJg6vdHi2TOpmDykFckVdSR83eTvruAqqj3HqZftCWibcdE6k9yDQwzB0LwBc_wEsmfT4wNlZcwhRU2ZOAi5Kw&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=Adp0cZS_M8nhbdFCwx0EiiSlL-eHKE9jWHO6cnGnKe7PJnjqWpLNPSyT6L7STYW0j-Y&ccb=13-1&oh=06_Q3-9ARobn325CrrKDblkQ7-Y9KhceB6Lx9UUHDpe2kjLJnRA&oe=69CF0178&_nc_sid=58080a,PAUSED,150,,,,,,,
16/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD001 - O pecuarista que não,120241819703850429,"2,62",0,0,0,3,11,119,"1,28","22,02",0,0,https://www.instagram.com/p/DV_JT40AISh/,https://external.xx.fbcdn.net/emg1/v/t13/2603904423672303347?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJCO3V3p0ygbzdxZ9enaPDW5hkq1_CznJ84_1xNiC4IY4A4Jb_E3bN86dKDO7UctFD-E9qmyMKiwnBq8ScheQOH02Z_j02Pd9vEDseS53oS6qXUHBFwCZO51SL5kq6AFoCLyTCzheJKqFcYWpa5CDze&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdouOKt8oYHwumvL5CZcFIsfCHpH5yRwnETKvzUTPV1eKrP-P5hzkGG_9MwlAdwtIew&ccb=13-1&oh=06_Q3-9Aa_YncmIUnwViqnZ-F2yzpCDnr4ow66VST1H4iaaM1kF&oe=69CEF963&_nc_sid=58080a,PAUSED,150,,,,,,,
16/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD002 - Manejar no olhometro,120241822139300429,"1,65",0,0,0,3,5,51,"1,09","32,35",0,0,https://www.instagram.com/p/DV_JT0nAFEW/,https://external.xx.fbcdn.net/emg1/v/t13/9242794386734658836?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIUa8CAJ4ckc5mE-zf2KoggmWkUReZ4krL5PGbUE3lAOdC2dSrYIJu2KX8rbmUca-mmByoVeBQrJIKxpeD90WjbM-u-4P4WeWlSAKekt-siCS-8jGYIYiNbZcIlkU0-JkQ6kf9L1LG73Kl6PssufDJ3&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdqS8HCDSF4iWjR8zFjVcn3vrhEVfmL-88ZeftLvoVWRA7qd5KkAk2wmU0kvZmMyMuI&ccb=13-1&oh=06_Q3-9Adx6wJ5uCKOQ160dAB83zlYspuHs_0YxD3BUZRstQlPx&oe=69CF201E&_nc_sid=58080a,PAUSED,150,,,,,,,
16/03/2026,Suplementação na Prática,[RA][Leads][Captação] Lançamento MGP,[ADV] Aberto,AD003 - Gestão do pasto,120241822139310429,"13,87",0,0,0,12,17,1014,"1,3","13,68",0,0,https://www.instagram.com/p/DV_JT0HAH3v/,https://external.xx.fbcdn.net/emg1/v/t13/13065861944801083276?url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLh66VnSc8ueAngUAt9v4G2PSmdI7vR6mTn84pf9pcI0zh2fkD1y_1OEcWygQxzlgsPwj8tX30dTnuI7v3J8c09jeid4W57h0wWI5E_3S8JHl03HtYPIwRHnEaeN6xllT9kheCHKM-RG0nzyXA3A1fo&fb_obo=1&utld=facebook.com&stp=c0.5000x0.5000f_dst-emg0_q75_tt6&edm=AOgd6ZUEAAAA&_nc_gid=EHtcjvRKjew78KK8RO285w&_nc_oc=AdqcCqbGnsxXewkdruGrKrsXkhHyQ6aO1wRwycX3BJMec925ClcwujLGI8p8WXLhghg&ccb=13-1&oh=06_Q3-9AdHIlmKLo0ODKNSuHOHnrniau0mZmhbUgW8u-cZ3hOmQ&oe=69CF02F8&_nc_sid=58080a,ACTIVE,150,,,,,,,
